14:0,i-15:0,ai-15:0,br-16:0,15:1,n-15:0,i-16:0,br-17:0,16:0,2-1 16:1a,10-Me-16:0,2-3 16:1b,2-4a,2-4 16:1w7,2-5 i-17:0_,16:1c,br-17:0,br17:1,10-Me17:0,cy17:0,18:0,0,18:1w9t _,br19:0 _,18:1w9c,18:1b,18:1c,18:2a,"18:2w6,9","18:3w6,9,12",cy-19:0,cy-19:0,0,"18:3w3,6,9",20:0,0,18:2b,21:0,20:2,20:3a,20:3b,"20:4w6,9,12,15",22:0,"20:5w3,6,9,12,15",0,23:0_,24:0,25:0,"22:6w3,6,9,12,15,18"
13.2488,32.37384,24.3821,0,0.60831,12.49229,14.06477,0.57424,222.9815,7.11716,14.90372,3.8059,3.23162,61.1556,4.19493,21.09261,38.38337,6.42259,4.39745,20.02874,37.64557,2.93753,2.66789,5.02742,138.5024,74.05541,11.20956,3.14717,310.2138,5.30778,2.2428,30.78999,1.23474,55.56206,14.58246,1.74655,3.49156,2.2215,4.85541,4.61553,2.74829,22.11177,27.14325,8.94153,2.48591,3.9971,19.54807,1.64721,1.83244
10.29209,24.83076,20.57998,0,0.51559,9.72452,10.53614,0,205.3558,6.18543,13.37978,3.27216,2.65026,57.37598,4.14182,21.28391,36.8871,6.7077,3.0202,20.97917,37.20099,2.73065,1.57301,2.82132,135.96319,75.38769,10.24391,3.28982,300.23793,5.27218,1.54889,29.80445,1.14619,50.68682,14.63876,1.20432,3.51401,2.3124,2.35515,5.00999,2.95344,20.63536,27.76437,8.75349,2.5517,4.14545,22.66512,1.87374,1.2127
10.43923,62.24225,32.46987,0.5086,1.51389,14.96301,30.57291,1.32164,202.55623,9.89962,49.04881,5.20444,3.88092,67.69623,9.90164,24.21085,41.42214,16.86274,8.68256,31.68601,32.43047,7.47108,4.25952,4.75909,175.40263,89.92423,20.56428,7.47778,167.52697,10.3923,8.58199,92.41892,8.52685,13.23915,11.78665,2.39957,2.27329,2.63863,3.18489,11.02536,2.57501,10.99374,19.38319,4.31802,4.00368,4.06558,17.36868,1.387,1.41897
10.43263,60.35784,31.02483,0,1.35851,14.22528,29.17476,0.75522,190.9576,9.48667,48.51021,5.3325,4.10516,66.34779,9.70105,23.51058,37.36684,16.20423,8.14883,30.58962,31.35411,7.13805,4.15435,4.53291,170.76309,84.57441,18.23965,6.84893,161.33145,9.39802,7.65547,91.18549,9.21992,11.13902,9.88211,1.994,2.50596,2.19411,2.83827,9.69111,2.33153,11.13492,15.6792,4.44806,3.46616,3.34477,14.29025,1.20091,1.30904
7.55756,49.05701,26.63753,0.93798,1.03867,10.21835,25.53805,1.33759,156.07928,9.96244,45.88789,6.08711,7.34996,63.93712,10.54244,28.13026,39.27324,16.64297,8.03349,24.6756,32.36959,6.19674,5.55828,4.5926,140.71186,90.58411,19.07894,6.75649,97.41426,9.33579,8.70905,90.159,9.51211,7.71145,12.38652,1.67405,1.43577,2.14138,2.03187,8.78379,1.87976,9.67864,20.71351,3.35391,3.0943,3.67333,18.81491,1.17239,1.23438
12.29355,64.06788,33.53524,0.91076,1.62518,13.46943,41.54815,1.02047,162.65724,10.74961,47.75882,6.23968,7.50771,69.46846,10.70408,29.75104,37.97387,16.92634,8.33429,25.1949,32.27413,5.83452,5.51149,4.49591,136.62963,87.83575,18.95941,6.31052,95.68112,9.27516,8.93918,87.85983,21.34229,7.84557,10.92931,1.48413,1.40407,1.98884,2.15475,9.35916,1.78405,9.22585,17.90845,3.00206,2.31477,3.46147,15.8814,0.97574,1.18144
11.7495,45.46035,25.76664,1.0572,1.23263,9.55219,18.23985,1.00508,132.36399,7.36142,32.31779,4.4499,5.26962,48.56082,7.10822,20.18399,31.18981,11.27411,5.48954,18.33364,25.3351,4.17147,3.57747,3.15774,105.04742,61.61383,13.03595,5.24808,111.04074,6.54211,5.69909,60.25387,7.00591,15.50424,9.43031,1.42903,0.97096,1.62485,1.54424,5.97073,1.35251,6.55223,14.69234,2.09833,1.92654,2.47698,12.8027,0.86027,0.88863
18.01539,91.38931,49.84226,0.78217,2.32126,16.46182,45.76652,1.67312,224.7328,15.08944,62.3451,9.0256,10.16442,95.98177,13.73095,40.93614,55.77052,24.28157,10.62357,34.46989,40.76512,7.685,7.52683,5.09164,187.09692,121.14013,26.88847,8.95292,134.99554,13.8018,10.61646,115.31738,13.5226,11.43093,13.97864,2.18502,1.76599,2.53619,2.78398,12.71725,2.33753,11.90003,22.69611,4.41226,3.65029,4.37215,21.25491,1.42203,1.72415
20.777,78.36791,41.95481,1.07337,1.56144,19.96527,36.64033,0.91303,264.98726,11.20376,52.07243,6.88984,7.02117,92.46494,10.7704,31.95346,64.09984,16.41654,6.79515,31.60729,40.10514,6.82073,6.16478,4.27578,191.77111,115.87164,24.47597,9.90568,192.87511,14.19577,9.4499,99.5367,8.59495,15.20226,12.9761,2.10419,7.16522,2.62541,3.25889,13.6675,2.04979,10.17409,23.75259,4.17051,3.79537,4.46591,20.98455,1.02065,0.57989
16.8923299492,76.802972385,39.930698393,0.3082578478,1.3380913909,18.4410813941,30.9715898239,1.0501270161,275.0573512047,11.7902382668,56.9503172447,5.9325144861,6.4716151875,96.4679612243,12.0628370287,33.7271743868,67.4279230589,18.2159256068,7.7212006822,36.9465414197,44.4748587259,7.9462545826,7.0461434126,5.2601012044,210.9015372765,128.854569323,26.7635422356,11.0457954196,207.2612999906,14.7284335862,9.5113962616,115.8909006499,9.503456026,17.1075795893,14.862083532,1.5787278752,7.7454517593,3.0081876506,3.7961640452,14.518993519,1.842462247,11.857970357,28.6407909277,4.449308232,3.6884240527,5.3533728773,28.5914477043,2.2066838107,1.3387036275
