harvest,,temperature,horizon,region,site,resp_act
T3,,15,B,ER,1,5.85
T3,,15,B,ER,2,5.81
T3,,15,B,ER,3,4.56
T3,,15,B,SR,1,3.42
T3,,15,B,SR,2,4.50
T3,,15,B,SR,3,7.56
T3,,15,B,GC,1,4.60
T3,,15,B,GC,2,4.38
T3,,15,B,GC,3,3.21
T3,,5,L,ER,1,19.25
T3,,5,F,ER,1,11.87
T3,,5,H,ER,1,8.12
T3,,5,L,ER,2,14.84
T3,,5,F,ER,2,15.09
T3,,5,H,ER,2,5.96
T3,,5,L,ER,3,14.23
T3,,5,F,ER,3,12.72
T3,,5,H,ER,3,14.55
T3,,5,L,GC,1,27.11
T3,,5,F,GC,1,7.87
T3,,5,H,GC,1,5.64
T3,,5,L,GC,2,15.58
T3,,5,F,GC,2,5.04
T3,,5,H,GC,2,2.78
T3,,5,L,GC,3,20.26
T3,,5,F,GC,3,6.22
T3,,5,H,GC,3,3.68
T3,,10,L,ER,1,25.95
T3,,10,F,ER,1,18.55
T3,,10,H,ER,1,14.43
T3,,10,L,ER,2,68.58
T3,,10,F,ER,2,39.53
T3,,10,H,ER,2,22.14
T3,,10,L,ER,3,31.91
T3,,10,F,ER,3,20.96
T3,,10,H,ER,3,23.25
T3,,10,L,GC,1,32.59
T3,,10,F,GC,1,18.91
T3,,10,H,GC,1,9.40
T3,,10,L,GC,2,32.38
T3,,10,F,GC,2,8.82
T3,,10,H,GC,2,7.33
T3,,10,L,GC,3,47.23
T3,,10,F,GC,3,9.91
T3,,10,H,GC,3,9.69
T3,,15,L,ER,1,52.13
T3,,15,F,ER,1,42.19
T3,,15,H,ER,1,30.76
T3,,15,L,ER,2,49.46
T3,,15,F,ER,2,39.62
T3,,15,H,ER,2,27.46
T3,,15,L,ER,3,104.20
T3,,15,F,ER,3,38.16
T3,,15,H,ER,3,33.70
T3,,15,L,GC,1,69.23
T3,,15,F,GC,1,31.61
T3,,15,H,GC,1,24.15
T3,,15,L,GC,2,48.05
T3,,15,F,GC,2,16.58
T3,,15,H,GC,2,10.63
T3,,15,L,GC,3,39.74
T3,,15,F,GC,3,14.49
T3,,15,H,GC,3,17.64
T4,,5,B,ER,1,1.55
T4,,5,B,ER,2,1.13
T4,,5,B,ER,3,0.68
T4,,5,B,SR,1,1.05
T4,,5,B,SR,2,0.67
T4,,5,B,SR,3,3.51
T4,,5,B,GC,1,1.18
T4,,5,B,GC,2,1.79
T4,,5,B,GC,3,1.14
T4,,10,B,ER,1,3.09
T4,,10,B,ER,2,2.26
T4,,10,B,ER,3,2.19
T4,,10,B,SR,1,2.34
T4,,10,B,SR,2,2.38
T4,,10,B,SR,3,4.66
T4,,10,B,GC,1,0.34
T4,,10,B,GC,2,0.84
T4,,10,B,GC,3,
T4,,15,B,ER,1,1.66
T4,,15,B,ER,2,2.41
T4,,15,B,ER,3,2.03
T4,,15,B,SR,1,1.03
T4,,15,B,SR,2,2.12
T4,,15,B,SR,3,2.49
T4,,15,B,GC,1,1.67
T4,,15,B,GC,2,1.36
T4,,15,B,GC,3,1.01
T4,,5,L,ER,1,14.08
T4,,5,F,ER,1,11.81
T4,,5,H,ER,1,5.88
T4,,5,L,ER,2,17.41
T4,,5,F,ER,2,11.71
T4,,5,H,ER,2,6.09
T4,,5,L,ER,3,30.20
T4,,5,F,ER,3,13.41
T4,,5,H,ER,3,5.58
T4,,5,L,GC,1,10.27
T4,,5,F,GC,1,7.21
T4,,5,H,GC,1,3.90
T4,,5,L,GC,2,20.01
T4,,5,F,GC,2,11.32
T4,,5,H,GC,2,3.85
T4,,5,L,GC,3,
T4,,5,F,GC,3,4.33
T4,,5,H,GC,3,5.35
T4,,10,L,ER,1,17.98
T4,,10,F,ER,1,17.53
T4,,10,H,ER,1,13.27
T4,,10,L,ER,2,60.80
T4,,10,F,ER,2,22.57
T4,,10,H,ER,2,8.38
T4,,10,L,ER,3,80.14
T4,,10,F,ER,3,26.60
T4,,10,H,ER,3,20.14
T4,,10,L,GC,1,27.54
T4,,10,F,GC,1,18.77
T4,,10,H,GC,1,10.83
T4,,10,L,GC,2,30.47
T4,,10,F,GC,2,8.95
T4,,10,H,GC,2,6.38
T4,,10,L,GC,3,45.34
T4,,10,F,GC,3,25.08
T4,,10,H,GC,3,13.48
T4,,15,L,ER,1,42.48
T4,,15,F,ER,1,15.92
T4,,15,H,ER,1,11.69
T4,,15,L,ER,2,35.98
T4,,15,F,ER,2,36.07
T4,,15,H,ER,2,12.40
T4,,15,L,ER,3,52.78
T4,,15,F,ER,3,19.73
T4,,15,H,ER,3,25.48
T4,,15,L,GC,1,26.70
T4,,15,F,GC,1,20.46
T4,,15,H,GC,1,17.33
T4,,15,L,GC,2,25.97
T4,,15,F,GC,2,8.40
T4,,15,H,GC,2,2.78
T4,,15,L,GC,3,58.18
T4,,15,F,GC,3,6.96
T4,,15,H,GC,3,4.63
T5,,5,B,ER,1,1.07
T5,,5,B,ER,2,1.30
T5,,5,B,ER,3,1.36
T5,,5,B,GC,1,1.95
T5,,5,B,GC,2,1.99
T5,,5,B,GC,3,1.28
T5,,10,B,ER,1,2.54
T5,,10,B,ER,2,2.15
T5,,10,B,ER,3,1.94
T5,,10,B,GC,1,1.82
T5,,10,B,GC,2,2.82
T5,,10,B,GC,3,4.58
T5,,15,B,ER,1,3.96
T5,,15,B,ER,2,4.02
T5,,15,B,ER,3,4.01
T5,,15,B,GC,1,2.44
T5,,15,B,GC,2,2.85
T5,,15,B,GC,3,2.11
T5,,5,L,ER,1,23.07
T5,,5,F,ER,1,5.29
T5,,5,H,ER,1,5.90
T5,,5,L,ER,2,23.37
T5,,5,F,ER,2,6.35
T5,,5,H,ER,2,4.66
T5,,5,L,ER,3,12.80
T5,,5,F,ER,3,7.86
T5,,5,H,ER,3,4.29
T5,,5,L,GC,1,16.83
T5,,5,F,GC,1,6.69
T5,,5,H,GC,1,3.70
T5,,5,L,GC,2,10.45
T5,,5,F,GC,2,2.13
T5,,5,H,GC,2,2.69
T5,,5,L,GC,3,9.32
T5,,5,F,GC,3,6.61
T5,,5,H,GC,3,2.55
T5,,10,L,ER,1,23.12
T5,,10,F,ER,1,16.79
T5,,10,H,ER,1,11.47
T5,,10,L,ER,2,35.31
T5,,10,F,ER,2,21.05
T5,,10,H,ER,2,14.98
T5,,10,L,ER,3,21.39
T5,,10,F,ER,3,17.34
T5,,10,H,ER,3,22.17
T5,,10,L,GC,1,24.87
T5,,10,F,GC,1,11.58
T5,,10,H,GC,1,12.65
T5,,10,L,GC,2,27.53
T5,,10,F,GC,2,7.66
T5,,10,H,GC,2,6.01
T5,,10,L,GC,3,19.50
T5,,10,F,GC,3,13.97
T5,,10,H,GC,3,7.49
T5,,15,L,ER,1,37.76
T5,,15,F,ER,1,15.66
T5,,15,H,ER,1,13.84
T5,,15,L,ER,2,30.59
T5,,15,F,ER,2,22.45
T5,,15,H,ER,2,18.30
T5,,15,L,ER,3,23.77
T5,,15,F,ER,3,25.64
T5,,15,H,ER,3,21.66
T5,,15,L,GC,1,22.13
T5,,15,F,GC,1,25.27
T5,,15,H,GC,1,16.01
T5,,15,L,GC,2,22.63
T5,,15,F,GC,2,12.19
T5,,15,H,GC,2,7.71
T5,,15,L,GC,3,11.98
T5,,15,F,GC,3,14.62
T5,,15,H,GC,3,9.51
